vowel,word,F1,F2
i,bead,265.243007,2856.897855
ɪ,bid,382.105632,2304.680007
e,bade,399.658142,2451.130401
ɛ,bed,647.557415,2050.247128
æ,bad,912.582344,1975.055854
ɑ,bod,776.596982,1117.656901
ɔ,bawd,689.676226,961.658492
ʌ,bud,704.018936,1375.668836
o,bode,412.375796,1059.433114
u,booed,387.029326,1363.880395
ɚ,bird,414.222571,1444.791603
i,bean,274.246121,2769.125143
ɪ,bin,326.825969,2199.883881
e,bane,406.415541,2508.32496
ɛ,ben,634.76742,1907.297536
æ,ban,853,2238
ɑ,bon,981.843576,1180.436675
ɔ,bown,600.317297,911.462384
o,bone,411.286091,1087.828386
ʌ,bun,869.592458,1402.391479
u,boon,297.013253,973.307855
ɚ,burn,357.782548,1344.664108
i,mean,313.736465,3013.670604
ɪ,min,357.313811,2302.112872
e,mane,296.168124,2562.615983
ɛ,men,673.916931,2083.335709
æ,man,911.6,2353
ɑ,mon,711.969114,1048.918305
ɔ,moun,513.635789,937.582157
o,moan,347.877726,1113.327898
ʌ,mun,816.511927,1483.997336
u,moon,333.467839,1054.554662
ɚ,mern,351.390887,1291.060208